StartDate,EndDate,Progress,Duration (in seconds),Finished,ResponseId,DistributionChannel,UserLanguage,Gender,Education,Discpline,Logic Course,What causes storm?,What causes forest fire?,What are present?,Why Mary study?,Why Elizabeth ask?,Who are in the living room)
12/11/2019 22:43,12/11/2019 22:48,100,305,TRUE,R_2pSOOchKvP1r4B0,anonymous,EN,Male,Doctorate Degree,"Applied sciences (business, engineering and technology, medicine and health)",Yes,Unknown,Unknown,Unknown  ,Unknown,Unknown,Unknown
12/11/2019 22:56,12/11/2019 23:02,100,364,TRUE,R_vpqcCsIgLIQ56wN,anonymous,EN,Female,Bachelor's degree,"Applied sciences (business, engineering and technology, medicine and health)",No,Unknown,Ligthning,Forest fires and firefighters,Unknown,Unknown,Elizabeth and her brother
43812.90164,43812.90339,100,150,TRUE,R_CesAfXpY6JXZQ3L,preview,EN,Male,Doctorate Degree,"Natural sciences (biology, chemistry, earth sciences, space sciences, physics)",Yes,Lightning,Ligthning,Unknown  ,She has reading assignment,She has writing project,Elizabeths brother
12/13/2019 21:46,12/13/2019 21:53,100,405,TRUE,R_2WvSmtZMHX25is9,anonymous,EN,Male,Master's degree,"Formal sciences (computer science, mathematics, statistics)",Yes,Lightning,Ligthning,Forest fires and firefighters,She has reading assignment,She has a math homework,Unknown
43812.93409,43812.94355,100,817,TRUE,R_x9pazBgavfyFDJD,anonymous,EN,Male,Bachelor's degree,"Formal sciences (computer science, mathematics, statistics)",Yes,Tempest,Ligthning,Forest fires,She has writing project,She has writing project,Elizabeth and her brother
43812.93459,43812.94469,100,872,TRUE,R_1rcduJ0WFOPSiT4,anonymous,EN,Male,Master's degree,"Formal sciences (computer science, mathematics, statistics)",No,Tempest,Ligthning,Firefighters   ,She has writing project,She has writing project,Elizabeth and her brother
43812.93471,43812.93998,100,454,TRUE,R_22G044SCucIBn6W,anonymous,EN,Male,Master's degree,"Applied sciences (business, engineering and technology, medicine and health)",Yes,Tempest,Ligthning,Forest fires and firefighters,She has writing project,She has writing project,Elizabeth and her brother
43812.93475,43812.94214,100,638,TRUE,R_1hxTaUiK5Ayf8bl,anonymous,EN,Male,Bachelor's degree,"Formal sciences (computer science, mathematics, statistics)",Yes,Tempest,Ligthning,Forest fires and firefighters,She has reading assignment,She has a math homework,Elizabeth and her brother
43812.93606,43812.94066,100,397,TRUE,R_2txMZugMWRPqGPT,anonymous,EN,Male,Bachelor's degree,"Formal sciences (computer science, mathematics, statistics)",Yes,Tempest,Ligthning,Forest fires and firefighters,She has reading assignment,She has a math homework,Unknown
43812.93655,43812.94361,100,610,TRUE,R_2VrQ6epob4HebuK,anonymous,EN,Male,Bachelor's degree,"Applied sciences (business, engineering and technology, medicine and health)",Yes,Lightning,Tempest,Forest fires and firefighters,She has reading assignment,She has a math homework,Elizabeth and her brother
